No.,Wavelength,T_M1c,Trans_M8D,Trans_M3A,Trans_M92,Visible
124,531,0.1799,48.1628,67.8846,70.5695,0
125,528,0.1829,48.036,67.581,70.2948,0
126,525,0.1794,47.8059,67.018,69.8737,0
127,522,0.1786,47.6219,66.5724,69.5795,0
128,519,0.1795,47.5314,66.36,69.412,0
129,516,0.1811,47.3926,65.9196,69.1646,0
130,513,0.1831,47.311,65.6419,69.0442,0
131,510,0.178,47.2792,65.3301,68.8676,0
132,507,0.1807,47.3171,65.174,68.8271,0
133,504,0.1753,47.3194,65.0044,68.7883,0
134,501,0.1779,47.3561,64.772,68.7419,0
135,498,0.1807,47.4583,64.704,68.8265,0
136,495,0.1836,47.5714,64.6136,68.8449,0
137,492,0.1868,47.7412,64.5805,68.8859,0
138,489,0.1814,47.8918,64.5844,68.9736,0
139,486,0.1852,48.091,64.5269,69.1562,0
140,483,0.1884,48.1923,64.4837,69.1935,0
141,480,0.1924,48.479,64.486,69.3055,0
142,477,0.1871,48.5591,64.4555,69.4517,0
143,474,0.1911,48.6053,64.358,69.3733,0
144,471,0.1862,48.7066,64.3347,69.3612,0
145,468,0.1911,48.7125,64.1118,69.1913,0
146,465,0.1929,48.72,64.0179,69.1381,0
147,462,0.189,48.6501,63.8175,68.9741,0
148,459,0.1846,48.554,63.495,68.7364,0
149,456,0.1867,48.3664,63.2147,68.4597,0
150,453,0.1834,48.0893,62.7331,68.0465,0
151,450,0.1856,47.7857,62.3192,67.6501,0
152,447,0.1845,47.4198,61.6753,66.882,0
153,444,0.1814,47.0311,61.1017,66.3684,0
154,441,0.1752,46.5842,60.3436,65.7965,0
155,438,0.177,46.1695,59.5762,65.1234,0
156,435,0.1757,45.8656,58.9664,64.584,0
157,432,0.1747,45.3402,58.1491,63.9395,0
158,429,0.1752,44.8966,57.357,63.3147,0
159,426,0.1725,44.7128,56.7486,62.8384,0
160,423,0.1706,44.3365,56.0047,62.237,0
161,420,0.1699,44.091,55.2483,61.7,0
162,417,0.166,43.8864,54.5959,61.1601,0
163,414,0.1633,43.7185,53.9371,60.663,0
164,411,0.1663,43.5672,53.3999,60.18,0
165,408,0.1656,43.4737,52.9533,59.8434,0
166,405,0.1608,43.4189,52.5084,59.5331,0
167,402,0.1621,43.3683,52.2322,59.226,0
168,399,0.1652,43.3527,52.0848,59.0966,0
169,396,0.1626,43.3277,51.915,58.9486,1
170,393,0.1672,43.379,51.9133,59.0456,0
171,390,0.1673,43.4874,52.0176,59.1609,0
172,387,0.1675,43.6567,52.2693,59.3512,0
173,384,0.1677,43.893,52.5694,59.7619,0
174,381,0.1678,44.0488,52.7356,60.1454,0
175,378,0.1585,44.1709,52.8181,60.3983,0
176,375,0.1692,44.176,52.7136,60.3817,0
177,372,0.1688,44.2584,52.6452,60.37,0
178,369,0.1718,44.297,52.4005,60.1985,0
179,366,0.1737,44.5704,52.3126,60.3382,0
180,363,0.1708,44.826,52.1442,60.3344,0
181,360,0.1798,44.9618,51.8562,60.1618,0
182,357,0.1824,45.01,51.3592,59.8248,0
183,354,0.1784,45.0296,50.9246,59.4293,0
184,351,0.1756,44.8444,50.2975,58.8821,-1
